ID,Median_colony_size,BlackMarble_2016_3km_geo.3,H_abund,Long_Term_Kd_Median,value
cnmi_1,13.0,59.333333333333336,0.222224847,0.0536666698753834,0.3333333333333333
cnmi_10,13.0,33.0,0.27859918,0.04250000230968,0.0
cnmi_2,13.0,4.0,0.222224847,0.0210000015795231,0.0
cnmi_3,13.0,0.0,0.222224847,0.0210000015795231,0.0
cnmi_4,13.0,16.0,0.222224847,0.024000001139938852,0.0
cnmi_5,13.0,29.0,0.222224847,0.025000000372529,0.0
cnmi_7,13.0,16.0,0.222224847,0.024000001139938852,0.0
cnmi_9,13.0,18.0,0.222224847,0.0270000007003546,0.0
guam_Achang Reef Flat Marine Preserve,13.0,11.0,0.200683888,0.02350000105798245,0.0
guam_Pati Point Marine Preserve,13.0,49.0,0.21868617709574467,0.02750000171363355,0.0
guam_Piti Bomb Holes Marine Preserve,13.0,80.5,0.289688649,0.06400000117719165,0.5
guam_Sasa Bay Marine Preserve,13.0,56.0,0.289688649,0.0280000008642673,0.0
guam_Tumon Bay Marine Preserve,13.0,47.5,0.299193135787234,0.04500000178813935,0.5
hawaii_Ahihi-Kinau NAR,16.0,16.0,0.142222823,0.0280000008642673,0.0
hawaii_Haena CBFA,16.0,14.5,0.087921788,0.07350000366568556,1.5
hawaii_Haena CBFA: Makua Puuhonua,16.0,15.0,0.074135484,0.109000004827976,3.0
hawaii_Haena CBFA: Opihi Management Area,16.0,15.0,0.074135484,0.109000004827976,3.0
hawaii_Haena CBFA: Vessel Transit Boundary,16.0,15.0,0.074135484,0.109000004827976,3.0
hawaii_Hanamalo Pt-Kanewaa Pt NRA,16.0,12.5,0.388688399,0.0290000010281801,0.0
hawaii_Hanamaulu Bay & Ahukini Recreational Pier FMA: Zone 1,16.0,25.0,0.074135484,0.0450000017881393,1.0
hawaii_Hanamaulu Bay & Ahukini Recreational Pier FMA: Zone 2,16.0,25.0,0.074135484,0.0450000017881393,1.0
hawaii_Hanauma Bay MLCD,16.0,13.0,0.208927426,0.0230000019073486,2.0
"hawaii_Hilo Harbor, Wailoa River & Wailuku River",16.0,146.0,0.209105615,0.328000009059906,5.0
hawaii_Honolua-Mokuleia Bay MLCD,16.0,20.0,0.201802654,0.0450000017881393,0.0
hawaii_Honolulu Harbor,16.0,15.0,0.093945558,0.0329999998211861,0.0
hawaii_Hookena FRA,16.0,15.0,0.388688399,0.0290000010281801,0.0
hawaii_Ka Lae (South Pt) (BRFA M),16.0,17.75,0.38610617675000003,0.025250000413507223,0.5
hawaii_Kaena Pt (BRFA D),16.0,14.666666666666666,0.11628140199999999,0.029000001028180098,0.0
hawaii_Kahekili Herbivore FMA,16.0,61.0,0.056574144,0.0550000034272671,1.0
hawaii_Kahoolawe Island Reserve: Zone A,16.0,14.11111111111111,0.18799932033333333,0.02866666743324862,0.0
hawaii_Kahoolawe Island Reserve: Zone B,16.0,14.25,0.2046418186875,0.027625000686384737,0.0
hawaii_Kahului Harbor FMA,16.0,17.0,0.322807263,0.0690000057220459,7.0
hawaii_Kailua Bay FMA,16.0,6.0,0.388688399,0.0290000010281801,0.0
hawaii_Kailua Bay FMA: Zone B,16.0,6.0,0.388688399,0.0290000010281801,0.0
hawaii_Kailua-Keauhou FRA,16.0,13.75,0.388688399,0.028250000905245525,0.0
hawaii_Kalaupapa (BRFA G),16.0,15.0,0.1363161386,0.036000001803040485,3.8
hawaii_Kaloko-Honokohau FRA / NRA,16.0,14.0,0.388688399,0.0290000010281801,0.0
hawaii_Kanonone-Kalipoa (Ka Lae) NRA,16.0,13.0,0.388688399,0.0280000008642673,0.0
hawaii_Kaula Rock (BRFA A),16.0,15.0,0.1919928948672,0.02500000037252905,0.0
hawaii_Kaunakakai Harbor FMA: Area 1A,16.0,53.0,0.186413619,1.00499999523163,5.0
hawaii_Kaunakakai Harbor FMA: Area 1B,16.0,53.0,0.186413619,1.00499999523163,5.0
hawaii_Kaunakakai Harbor FMA: Area 2,16.0,53.0,0.186413619,1.00499999523163,5.0
hawaii_Kauplehu Marine Reserve,16.0,15.8,0.388688399,0.031200001388788222,0.0
hawaii_Kealakekua Bay MLCD: Zone A,16.0,17.0,0.388688399,0.0300000011920929,0.0
hawaii_Kealakekua Bay MLCD: Zone B,16.0,17.0,0.388688399,0.0300000011920929,0.0
hawaii_Keauhou Bay FMA,16.0,20.0,0.388688399,0.0280000008642673,0.0
hawaii_Keauhou Bay FMA: Thrownetting Zone,16.0,20.0,0.388688399,0.0280000008642673,0.0
hawaii_Kiholo Bay FMA,16.0,11.0,0.388688399,0.0380000025033951,0.0
hawaii_Kikaua Pt-Makolea NRA,16.0,15.0,0.388688399,0.0300000011920929,0.0
hawaii_LNFPA: Maui,16.0,18.180555555555557,0.1844407624287111,0.03259027901933424,5.180555555555555
hawaii_LNFPA: Oahu,16.0,25.666666666666668,0.12078582255555556,0.07591667036629392,1.6111111111111112
hawaii_Lapakahi MLCD: Zone A,16.0,12.0,0.388688399,0.0260000005364418,0.0
hawaii_Lapakahi MLCD: Zone B,16.0,12.0,0.388688399,0.0260000005364418,0.0
hawaii_Leleiwi Pt (BRFA L),16.0,14.4,0.209105615,0.03180000111460686,0.0
hawaii_Makahuena (BRFA C),16.0,19.571428571428573,0.074135484,0.0278571436979941,0.42857142857142855
hawaii_Makapuu Pt (BRFA E),16.0,23.0,0.20892742599999997,0.05260000266134742,1.2
hawaii_Manele Harbor FMA: Area 1,16.0,16.0,0.22405832,0.0280000008642673,0.0
hawaii_Manele Harbor FMA: Area 2,16.0,16.0,0.22405832,0.0280000008642673,0.0
hawaii_Manele-Hulopoe MLCD: Zone A (Hulopoe Bay),16.0,22.5,0.22405832,0.02700000070035455,2.0
hawaii_Manele-Hulopoe MLCD: Zone B (Manele Bay),16.0,16.0,0.22405832,0.0280000008642673,0.0
hawaii_Milolii FRA,16.0,13.0,0.388688399,0.029333334416151033,0.0
hawaii_Moku Hooniki-Lipoa Pt (BRFA H),16.0,14.2,0.163523531,0.031000001356005658,0.2
hawaii_Mokumana-Umalei Pt (BRFA J),16.0,16.0,0.18735271775,0.029500000877305865,1.75
hawaii_Mokuoloe (Coconut Island) MLR,16.0,98.0,0.097811773,0.267500013113022,5.0
hawaii_Molokini Shoal MLCD: Zone A,16.0,15.0,0.142222823,0.0280000008642673,0.0
hawaii_Molokini Shoal MLCD: Zone B,16.0,15.0,0.142222823,0.0280000008642673,0.0
hawaii_Napoopoo-Honaunau FRA,16.0,15.5,0.388688399,0.02850000094622375,0.0
hawaii_Nawiliwili Harbor FMA,16.0,26.0,0.074135484,0.0425000041723251,0.0
hawaii_Nenue Point-Kealakekua Bay NRA,16.0,15.0,0.388688399,0.028666667640209198,0.0
hawaii_Niihau (BRFA B),16.0,14.666666666666666,0.09195618899999998,0.025666667148470865,0.0
hawaii_North Kohala FRA,16.0,12.5,0.388688399,0.02750000078231095,0.0
hawaii_Old Kona Airport MLCD,16.0,6.0,0.388688399,0.0290000010281801,0.0
hawaii_Old Kona Airport MLCD: No Boating Zone,16.0,6.0,0.388688399,0.0290000010281801,0.0
hawaii_Paiko Lagoon WS,16.0,94.0,0.093945558,0.120000004768372,5.0
hawaii_Papawai Bay FMA,16.0,6.0,0.388688399,0.0290000010281801,0.0
hawaii_Pokai Bay,16.0,24.5,0.093945558,0.037500001490116106,0.0
hawaii_Port Allen FMA,16.0,18.0,0.074135484,0.0280000008642673,0.0
hawaii_Puako Bay and Puako Reef FMA,16.0,12.0,0.388688399,0.0310000013560057,0.0
hawaii_Puako-Anaehoomalu FRA / NRA,16.0,13.0,0.388688399,0.0300000011920929,0.0
hawaii_Pupukea MLCD: Shark's Cove & Three Tables,16.0,22.0,0.102833159,0.0310000013560057,1.0
hawaii_Red Hill FMA,16.0,15.0,0.388688399,0.028666667640209198,0.0
hawaii_Red Hill FRA,16.0,15.0,0.388688399,0.028666667640209198,0.0
hawaii_South Kona Opelu Mgmt Special Rules,16.0,13.714285714285714,0.388688399,0.02914285819445337,0.0
hawaii_Upolu Pt (BRFA K),16.0,14.85,0.14254446,0.028800000902265317,0.15
hawaii_Waiakea PFA,16.0,146.0,0.209105615,0.328000009059906,5.0
hawaii_Wawaloli FMA,16.0,17.0,0.388688399,0.029500001110136502,0.0
hawaii_West Hawaii Regional FMA,16.0,14.508771929824562,0.37573345484210524,0.028473685152436548,0.017543859649122806
