ID,Median_colony_size,Parrotfish_abund,Long_Term_Kd_Median,H_abund,mean_cover,value
cnmi_1,11.0,0.022598009,0.0536666698753834,0.222224847,4.878008791,0.3333333333333333
cnmi_10,11.0,0.015415187,0.04250000230968,0.27859918,2.171598372,1.0
cnmi_2,11.0,0.022598009,0.0210000015795231,0.222224847,4.878008791,0.0
cnmi_3,11.0,0.022598009,0.0210000015795231,0.222224847,4.878008791,0.0
cnmi_4,11.0,0.022598009,0.024000001139938852,0.222224847,4.878008791,0.0
cnmi_5,11.0,0.022598009,0.025000000372529,0.222224847,4.878008791,0.0
cnmi_7,11.0,0.022598009,0.024000001139938852,0.222224847,4.878008791,0.0
cnmi_9,11.0,0.022598009,0.0270000007003546,0.222224847,4.878008791,0.0
guam_Achang Reef Flat Marine Preserve,11.0,0.008029022,0.02350000105798245,0.200683888,3.139408422,0.0
guam_Pati Point Marine Preserve,11.0,0.0090620906962175,0.02750000171363355,0.21868617709574467,2.963310115390071,0.5
guam_Piti Bomb Holes Marine Preserve,11.0,0.018032669,0.06400000117719165,0.289688649,1.870613115,2.0
guam_Sasa Bay Marine Preserve,11.0,0.018032669,0.0280000008642673,0.289688649,1.870613115,1.0
guam_Tumon Bay Marine Preserve,11.0,0.0161300515886525,0.04500000178813935,0.299193135787234,1.976715848670215,1.0
hawaii_Ahihi-Kinau NAR,12.0,0.006385645,0.0280000008642673,0.142222823,9.532815335,0.0
hawaii_Haena CBFA,12.0,0.0010059070000000001,0.07350000366568556,0.087921788,0.466722765,1.5
hawaii_Haena CBFA: Makua Puuhonua,12.0,0.000373933,0.109000004827976,0.074135484,0.644145118,2.0
hawaii_Haena CBFA: Opihi Management Area,12.0,0.000373933,0.109000004827976,0.074135484,0.644145118,2.0
hawaii_Haena CBFA: Vessel Transit Boundary,12.0,0.000373933,0.109000004827976,0.074135484,0.644145118,2.0
hawaii_Hanamalo Pt-Kanewaa Pt NRA,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Hanamaulu Bay & Ahukini Recreational Pier FMA: Zone 1,12.0,0.000373933,0.0450000017881393,0.074135484,0.644145118,0.0
hawaii_Hanamaulu Bay & Ahukini Recreational Pier FMA: Zone 2,12.0,0.000373933,0.0450000017881393,0.074135484,0.644145118,0.0
hawaii_Hanauma Bay MLCD,12.0,0.014263533,0.0230000019073486,0.208927426,11.42303042,0.0
"hawaii_Hilo Harbor, Wailoa River & Wailuku River",12.0,0.004837557,0.328000009059906,0.209105615,0.86463382,68.0
hawaii_Honolua-Mokuleia Bay MLCD,12.0,0.01045155,0.0450000017881393,0.201802654,0.148966061,1.0
hawaii_Honolulu Harbor,12.0,0.001341349,0.0329999998211861,0.093945558,1.134647294,0.0
hawaii_Hookena FRA,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Ka Lae (South Pt) (BRFA M),12.0,0.0100744015,0.025250000413507223,0.38610617675000003,0.8515365495,0.0
hawaii_Kaena Pt (BRFA D),12.0,0.005796095,0.029000001028180098,0.11628140199999999,0.371401771,0.0
hawaii_Kahekili Herbivore FMA,12.0,0.002684982,0.0550000034272671,0.056574144,6.053057194,0.0
hawaii_Kahoolawe Island Reserve: Zone A,12.0,0.007807106666666667,0.02866666743324862,0.18799932033333333,8.036147094,0.0
hawaii_Kahoolawe Island Reserve: Zone B,12.0,0.0069065385,0.027625000686384737,0.2046418186875,5.3216332376875,0.0
hawaii_Kahului Harbor FMA,12.0,0.009460287,0.0690000057220459,0.322807263,6.782981721,0.0
hawaii_Kailua Bay FMA,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Kailua Bay FMA: Zone B,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Kailua-Keauhou FRA,12.0,0.012584894,0.028250000905245525,0.388688399,0.193502615,0.0
hawaii_Kalaupapa (BRFA G),12.0,0.0057561138,0.036000001803040485,0.1363161386,0.059097241999999994,0.0
hawaii_Kaloko-Honokohau FRA / NRA,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Kanonone-Kalipoa (Ka Lae) NRA,12.0,0.012584894,0.0280000008642673,0.388688399,0.193502615,0.0
hawaii_Kaula Rock (BRFA A),12.0,0.0220249431104,0.02500000037252905,0.1919928948672,2.48210034066373,1.0
hawaii_Kaunakakai Harbor FMA: Area 1A,12.0,0.072504998,1.00499999523163,0.186413619,6.310231365,4.0
hawaii_Kaunakakai Harbor FMA: Area 1B,12.0,0.072504998,1.00499999523163,0.186413619,6.310231365,4.0
hawaii_Kaunakakai Harbor FMA: Area 2,12.0,0.072504998,1.00499999523163,0.186413619,6.310231365,4.0
hawaii_Kauplehu Marine Reserve,12.0,0.012584894,0.031200001388788222,0.388688399,0.193502615,0.0
hawaii_Kealakekua Bay MLCD: Zone A,12.0,0.012584894,0.0300000011920929,0.388688399,0.193502615,0.0
hawaii_Kealakekua Bay MLCD: Zone B,12.0,0.012584894,0.0300000011920929,0.388688399,0.193502615,0.0
hawaii_Keauhou Bay FMA,12.0,0.012584894,0.0280000008642673,0.388688399,0.193502615,0.0
hawaii_Keauhou Bay FMA: Thrownetting Zone,12.0,0.012584894,0.0280000008642673,0.388688399,0.193502615,0.0
hawaii_Kiholo Bay FMA,12.0,0.012584894,0.0380000025033951,0.388688399,0.193502615,0.0
hawaii_Kikaua Pt-Makolea NRA,12.0,0.012584894,0.0300000011920929,0.388688399,0.193502615,0.0
hawaii_LNFPA: Maui,12.0,0.0066403890154222225,0.03259027901933424,0.1844407624287111,3.2832504167592185,0.06944444444444445
hawaii_LNFPA: Oahu,12.0,0.0056534651111111115,0.07591667036629392,0.12078582255555556,5.733878380666667,7.888888888888889
hawaii_Lapakahi MLCD: Zone A,12.0,0.012584894,0.0260000005364418,0.388688399,0.193502615,0.0
hawaii_Lapakahi MLCD: Zone B,12.0,0.012584894,0.0260000005364418,0.388688399,0.193502615,0.0
hawaii_Leleiwi Pt (BRFA L),12.0,0.004837557,0.03180000111460686,0.209105615,0.8646338200000001,0.0
hawaii_Makahuena (BRFA C),12.0,0.000373933,0.0278571436979941,0.074135484,0.644145118,0.0
hawaii_Makapuu Pt (BRFA E),12.0,0.014263533,0.05260000266134742,0.20892742599999997,11.42303042,0.6
hawaii_Manele Harbor FMA: Area 1,12.0,0.013592246,0.0280000008642673,0.22405832,4.957324098,0.0
hawaii_Manele Harbor FMA: Area 2,12.0,0.013592246,0.0280000008642673,0.22405832,4.957324098,0.0
hawaii_Manele-Hulopoe MLCD: Zone A (Hulopoe Bay),12.0,0.013592246,0.02700000070035455,0.22405832,4.957324098,0.0
hawaii_Manele-Hulopoe MLCD: Zone B (Manele Bay),12.0,0.013592246,0.0280000008642673,0.22405832,4.957324098,0.0
hawaii_Milolii FRA,12.0,0.012584894,0.029333334416151033,0.388688399,0.193502615,0.0
hawaii_Moku Hooniki-Lipoa Pt (BRFA H),12.0,0.0461303052,0.031000001356005658,0.163523531,5.02654347,0.0
hawaii_Mokumana-Umalei Pt (BRFA J),12.0,0.0060191655,0.029500000877305865,0.18735271775,0.044218400625,0.0
hawaii_Mokuoloe (Coconut Island) MLR,12.0,0.005662908,0.267500013113022,0.097811773,8.07341847,62.0
hawaii_Molokini Shoal MLCD: Zone A,12.0,0.006385645,0.0280000008642673,0.142222823,9.532815335,0.0
hawaii_Molokini Shoal MLCD: Zone B,12.0,0.006385645,0.0280000008642673,0.142222823,9.532815335,0.0
hawaii_Napoopoo-Honaunau FRA,12.0,0.012584894,0.02850000094622375,0.388688399,0.193502615,0.0
hawaii_Nawiliwili Harbor FMA,12.0,0.000373933,0.0425000041723251,0.074135484,0.644145118,0.0
hawaii_Nenue Point-Kealakekua Bay NRA,12.0,0.012584894,0.028666667640209198,0.388688399,0.193502615,0.0
hawaii_Niihau (BRFA B),12.0,0.056588424,0.025666667148470865,0.09195618899999998,0.0,0.0
hawaii_North Kohala FRA,12.0,0.012584894,0.02750000078231095,0.388688399,0.193502615,0.0
hawaii_Old Kona Airport MLCD,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Old Kona Airport MLCD: No Boating Zone,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Paiko Lagoon WS,12.0,0.001341349,0.120000004768372,0.093945558,1.134647294,7.0
hawaii_Papawai Bay FMA,12.0,0.012584894,0.0290000010281801,0.388688399,0.193502615,0.0
hawaii_Pokai Bay,12.0,0.001341349,0.037500001490116106,0.093945558,1.134647294,0.5
hawaii_Port Allen FMA,12.0,0.000373933,0.0280000008642673,0.074135484,0.644145118,0.0
hawaii_Puako Bay and Puako Reef FMA,12.0,0.012584894,0.0310000013560057,0.388688399,0.193502615,0.0
hawaii_Puako-Anaehoomalu FRA / NRA,12.0,0.012584894,0.0300000011920929,0.388688399,0.193502615,0.0
hawaii_Pupukea MLCD: Shark's Cove & Three Tables,12.0,0.000845061,0.0310000013560057,0.102833159,0.72416997,0.0
hawaii_Red Hill FMA,12.0,0.012584894,0.028666667640209198,0.388688399,0.193502615,0.0
hawaii_Red Hill FRA,12.0,0.012584894,0.028666667640209198,0.388688399,0.193502615,0.0
hawaii_South Kona Opelu Mgmt Special Rules,12.0,0.012584894,0.02914285819445337,0.388688399,0.19350261500000002,0.0
hawaii_Upolu Pt (BRFA K),12.0,0.004318544,0.028800000902265317,0.14254446,0.743367037,0.0
hawaii_Waiakea PFA,12.0,0.004837557,0.328000009059906,0.209105615,0.86463382,68.0
hawaii_Wawaloli FMA,12.0,0.012584894,0.029500001110136502,0.388688399,0.193502615,0.0
hawaii_West Hawaii Regional FMA,12.0,0.012149822947368421,0.028473685152436548,0.37573345484210524,0.2224428477368421,0.0
